,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
12911,2014-12-02,Austria,48.2157468305366,16.374918132125444,4.0,1.0,2.0,2.0,69.0,59.0,2.0,12.0,2.0,1125.0,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
12912,2014-11-08,Austria,48.22582275007889,16.401469096438767,2.0,1.0,1.0,1.0,69.0,45.0,2.0,19.0,3.0,28.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,11
12913,2010-08-27,Austria,48.21465179032137,16.379914396033183,3.0,1.0,1.0,1.0,100.0,65.0,3.0,20.0,2.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,8
12914,2012-02-14,Austria,48.22246423059343,16.387925944111565,2.0,1.0,1.0,1.0,75.0,40.0,1.0,0.0,2.0,185.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
12915,2015-09-02,Austria,48.21676399752674,16.384621520209024,3.0,1.0,2.0,2.0,87.0,45.0,2.0,12.0,1.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,9
12916,2016-01-13,Austria,48.21840571234437,16.38325696901623,6.0,2.0,2.0,3.0,200.0,60.0,1.0,0.0,2.0,365.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
12920,2015-10-09,Austria,48.223559922651326,16.39919870382441,4.0,1.0,1.0,4.0,59.0,20.0,2.0,15.0,1.0,90.0,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
12921,2017-02-10,Austria,48.21453953981072,16.377946172821417,3.0,1.0,1.0,2.0,69.0,35.0,2.0,0.0,2.0,90.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2
12922,2014-06-22,Austria,48.21431980126341,16.392649702329916,2.0,1.0,0.0,2.0,65.0,0.0,1.0,0.0,3.0,1125.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,6
12923,2016-01-19,Austria,48.21724754834302,16.38529901518656,2.0,1.0,1.0,1.0,95.0,35.0,2.0,40.0,3.0,21.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
12924,2015-06-09,Austria,48.22581989566916,16.40297794967398,3.0,1.0,0.0,2.0,29.0,0.0,2.0,10.0,1.0,1125.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6
12925,2008-12-30,Austria,48.22784672057587,16.39433866329156,2.0,1.5,1.0,2.0,20.0,20.0,2.0,14.0,1.0,360.0,162.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
12926,2013-11-03,Austria,48.219122526341394,16.376910792682843,2.0,1.0,1.0,1.0,80.0,25.0,1.0,20.0,2.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,11
12927,2012-11-25,Austria,48.19259465395558,16.38602005267382,6.0,1.5,1.0,6.0,64.0,45.0,2.0,10.0,2.0,180.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,11
12929,2016-12-21,Austria,48.20633952987963,16.392108536907664,4.0,3.0,1.0,2.0,35.0,39.0,2.0,9.0,2.0,1125.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,12
12930,2013-07-08,Austria,48.19138721693852,16.387217919811658,4.0,1.5,2.0,3.0,80.0,25.0,1.0,0.0,2.0,1125.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7
12931,2014-07-19,Austria,48.1959770607927,16.398123547501203,2.0,1.0,1.0,1.0,53.0,10.0,1.0,10.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,7
12932,2014-01-31,Austria,48.20504788957704,16.394916340117252,2.0,1.0,1.0,1.0,28.0,0.0,1.0,12.0,3.0,30.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1
12933,2014-11-03,Austria,48.21058894575224,16.38989093918414,6.0,1.0,3.0,3.0,87.0,28.0,1.0,0.0,1.0,65.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11
12934,2013-10-13,Austria,48.18998859438646,16.388000091960173,2.0,1.0,1.0,1.0,59.0,20.0,2.0,0.0,4.0,1125.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,10
12936,2017-01-31,Austria,48.20298472106023,16.390504425709327,2.0,1.5,0.0,0.0,28.0,0.0,1.0,0.0,1.0,14.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
12937,2014-09-23,Austria,48.19275415075733,16.394464935190378,2.0,1.0,1.0,1.0,35.0,20.0,2.0,10.0,2.0,1125.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,9
12938,2015-02-17,Austria,48.1988519097344,16.39812699552701,6.0,1.0,3.0,3.0,150.0,50.0,2.0,30.0,2.0,14.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
12939,2014-04-20,Austria,48.19459397287401,16.397787522125,1.0,0.5,1.0,1.0,30.0,0.0,1.0,0.0,1.0,1125.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6,4
12940,2015-09-15,Austria,48.19976968066327,16.397748679501206,2.0,1.0,1.0,1.0,60.0,36.0,1.0,0.0,5.0,1125.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,9
12941,2017-04-22,Austria,48.19111679754802,16.39406109300475,2.0,1.0,1.0,2.0,40.0,0.0,1.0,0.0,2.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,4
12943,2012-06-25,Austria,48.20475959955314,16.39096761075043,3.0,1.0,1.0,2.0,69.0,25.0,2.0,20.0,2.0,1125.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6
12944,2014-06-09,Austria,48.24239221344519,16.35197154921441,2.0,1.0,1.0,1.0,50.0,0.0,1.0,0.0,1.0,1125.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6
12945,2016-06-30,Austria,48.24506830323716,16.349664569880964,2.0,1.0,1.0,1.0,20.0,0.0,1.0,0.0,1.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,6
12946,2015-06-27,Austria,48.25872249445485,16.34576149514915,8.0,1.5,2.0,4.0,190.0,65.0,1.0,0.0,2.0,1125.0,35.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,6
12948,2014-08-13,Austria,48.22515283093287,16.332989755884558,2.0,1.0,1.0,1.0,28.0,0.0,1.0,0.0,2.0,31.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,8
12949,2014-11-20,Austria,48.22342051369072,16.347384139426882,4.0,1.0,1.0,4.0,54.0,0.0,2.0,9.0,3.0,60.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,11
12950,2017-03-18,Austria,48.22935153908539,16.32871266735755,3.0,1.0,1.0,1.0,53.0,22.0,2.0,18.0,2.0,1125.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,3
12951,2016-04-12,Austria,48.22769787784855,16.33777419839748,3.0,1.5,1.0,3.0,25.0,0.0,2.0,0.0,1.0,1125.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,4
12952,2012-12-03,Austria,48.22595675998915,16.34750869236219,5.0,1.0,3.0,3.0,119.0,0.0,1.0,0.0,3.0,180.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,12
12953,2013-03-17,Austria,48.220676686719614,16.34254503941918,2.0,1.0,1.0,1.0,47.0,40.0,1.0,0.0,6.0,90.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,3
12954,2012-12-13,Austria,48.2241036995745,16.346436486225468,2.0,1.0,1.0,1.0,25.0,10.0,1.0,32.0,2.0,5.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,12
13241,2012-07-23,Austria,48.21340228302548,16.379544893343315,6.0,1.0,2.0,4.0,80.0,55.0,2.0,15.0,3.0,180.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7
13242,2016-07-24,Austria,48.21984315292688,16.381045322881786,2.0,1.0,1.0,1.0,39.0,6.0,1.0,0.0,2.0,1125.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,7
13243,2011-10-09,Austria,48.220416485382046,16.38124350219973,2.0,1.0,1.0,1.0,50.0,30.0,1.0,30.0,3.0,365.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,10
13244,2013-04-11,Austria,48.21924484186969,16.37521559359177,2.0,1.0,0.0,1.0,60.0,100.0,2.0,5.0,7.0,30.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4
13246,2016-01-13,Austria,48.21950531131972,16.38159710513545,4.0,1.0,1.0,2.0,96.0,0.0,1.0,0.0,2.0,365.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
13247,2009-12-11,Austria,48.219159130541286,16.402231543780033,4.0,1.0,1.0,2.0,80.0,35.0,1.0,8.0,2.0,1125.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,12
13248,2016-05-23,Austria,48.215422311099545,16.410835613044693,2.0,1.0,0.0,1.0,58.0,20.0,1.0,0.0,3.0,1125.0,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5
13249,2013-02-19,Austria,48.22180077760321,16.387961870198613,4.0,1.5,2.0,2.0,85.0,30.0,1.0,0.0,1.0,1125.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
13250,2013-07-09,Austria,48.222756420379,16.395776271927357,4.0,1.0,0.0,2.0,65.0,20.0,2.0,20.0,3.0,1125.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
13251,2011-01-23,Austria,48.21942516223832,16.37923253925052,2.0,2.0,1.0,2.0,50.0,20.0,1.0,40.0,2.0,365.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1
13252,2015-05-16,Austria,48.21917023188353,16.40293280290796,3.0,1.0,1.0,2.0,45.0,0.0,1.0,0.0,2.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5
13253,2016-04-17,Austria,48.22064741144583,16.39714012227784,3.0,1.5,1.0,3.0,35.0,0.0,2.0,5.0,1.0,1125.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4
13255,2013-11-05,Austria,48.21744571032976,16.408412287161834,2.0,1.5,1.0,1.0,65.0,0.0,1.0,0.0,2.0,12.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
13258,2016-10-28,Austria,48.2223100658148,16.369625089935962,2.0,1.5,1.0,1.0,33.0,20.0,1.0,12.0,3.0,50.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
