,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
1175,2014-02-25,Belgium,50.84203507146055,4.41090932995338,2.0,1.0,1.0,1.0,26.0,0.0,1.0,15.0,3.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
1176,2015-12-07,Belgium,50.82732880836016,4.409105853196348,2.0,1.0,1.0,1.0,75.0,0.0,1.0,0.0,2.0,1125.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,12
1178,2015-09-17,Belgium,50.83268723332151,4.440632517374287,2.0,1.5,1.0,1.0,60.0,0.0,1.0,0.0,2.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
4904,2014-04-03,Belgium,50.83079997540979,4.334301608431284,6.0,1.5,2.0,4.0,139.0,80.0,2.0,30.0,2.0,1125.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4
4906,2015-06-09,Belgium,50.82875973826832,4.337270668234661,2.0,1.0,1.0,1.0,35.0,0.0,1.0,0.0,1.0,1125.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6
4907,2013-11-09,Belgium,50.832339115815934,4.350044702627403,5.0,1.5,2.0,3.0,81.0,15.0,4.0,10.0,1.0,18.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,11
4908,2014-05-09,Belgium,50.82636483543696,4.345823970814459,2.0,1.5,1.0,1.0,27.0,10.0,1.0,0.0,3.0,1125.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,5
4909,2014-05-07,Belgium,50.83152958684696,4.333060671875769,2.0,1.0,1.0,1.0,35.0,15.0,1.0,0.0,3.0,29.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,5
4910,2012-08-29,Belgium,50.823045850275214,4.354619418683932,2.0,1.0,1.0,1.0,45.0,0.0,1.0,10.0,3.0,1125.0,80.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,8
5128,2014-12-21,Belgium,50.83159913966824,4.382154693665242,8.0,3.0,3.0,8.0,179.0,20.0,4.0,25.0,1.0,7.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
5129,2011-07-24,Belgium,50.83122200901914,4.384263448254572,2.0,1.0,1.0,1.0,60.0,20.0,1.0,10.0,1.0,30.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,7
5130,2016-12-27,Belgium,50.85988568504628,4.416305343150737,4.0,1.0,1.0,3.0,40.0,15.0,1.0,10.0,3.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
5131,2015-04-28,Belgium,50.826724599517085,4.335251015037738,4.0,1.0,2.0,2.0,70.0,0.0,1.0,0.0,1.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,4
5133,2014-11-03,Belgium,50.82159385988282,4.343345198420972,6.0,1.0,2.0,3.0,90.0,0.0,4.0,20.0,2.0,1125.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11
5134,2012-07-24,Belgium,50.823104025945085,4.334932103010364,2.0,1.0,1.0,1.0,28.0,15.0,1.0,10.0,2.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
5135,2013-09-24,Belgium,50.8215102934788,4.330632288255009,2.0,1.0,1.0,1.0,53.0,28.0,1.0,0.0,1.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,9
5137,2014-12-01,Belgium,50.81496656693874,4.388951699110488,2.0,1.0,1.0,2.0,50.0,15.0,1.0,0.0,2.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,12
5139,2015-06-25,Belgium,50.826594295814544,4.370315784281864,2.0,0.5,1.0,1.0,30.0,0.0,1.0,0.0,6.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,6
5140,2012-07-01,Belgium,50.82320088214554,4.358396272826845,6.0,1.0,2.0,3.0,169.0,25.0,4.0,15.0,1.0,99.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,7
5144,2015-04-12,Belgium,50.86564075748428,4.314149288119467,4.0,1.0,2.0,3.0,50.0,40.0,1.0,0.0,3.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4
5145,2011-10-25,Belgium,50.85990615936585,4.337582156656134,4.0,1.0,1.0,2.0,70.0,0.0,2.0,22.0,1.0,1125.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,10
5148,2013-03-24,Belgium,50.8588678468737,4.315009761885241,7.0,1.0,3.0,3.0,45.0,40.0,2.0,12.0,1.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,3
5149,2013-03-04,Belgium,50.86487597278292,4.339802722780719,2.0,1.5,1.0,2.0,60.0,0.0,1.0,15.0,1.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
5150,2014-07-28,Belgium,50.86265439120386,4.339382384520544,6.0,1.0,3.0,6.0,45.0,0.0,1.0,0.0,1.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7
5151,2012-07-21,Belgium,50.85604436525341,4.34277207291727,4.0,1.0,1.0,2.0,80.0,0.0,4.0,0.0,2.0,1125.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,7
5152,2014-07-13,Belgium,50.82997210719112,4.356179272890228,2.0,1.0,1.0,1.0,25.0,0.0,1.0,8.0,1.0,1125.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,7
5153,2013-11-17,Belgium,50.82465167618047,4.344338219767628,3.0,1.0,1.0,2.0,25.0,25.0,1.0,10.0,1.0,1125.0,138.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,11
5155,2013-06-12,Belgium,50.83747618184095,4.339986347362191,4.0,1.0,1.0,2.0,60.0,20.0,2.0,10.0,2.0,365.0,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
5158,2016-09-20,Belgium,50.831459120491004,4.3553903619483005,2.0,1.0,1.0,1.0,65.0,25.0,2.0,30.0,1.0,1125.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,9
