,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
3553,2015-08-05,Canada,45.5216330392855,-73.61606228935216,2.0,1.0,1.0,1.0,30.0,0.0,1.0,10.0,1.0,1125.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,8
3554,2013-03-25,Canada,45.51882160836742,-73.60944328441403,6.0,1.0,4.0,4.0,105.0,50.0,4.0,0.0,7.0,1125.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
3555,2015-06-19,Canada,45.5211509339659,-73.60868316863761,2.0,1.0,2.0,2.0,105.0,0.0,1.0,0.0,1.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6
3556,2015-01-23,Canada,45.52349322384119,-73.61007455809309,2.0,1.0,1.0,1.0,40.0,0.0,1.0,0.0,1.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1
3558,2012-01-24,Canada,45.51805194919222,-73.61105468842854,4.0,1.0,2.0,2.0,119.0,80.0,1.0,0.0,14.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
3559,2015-07-20,Canada,45.52293582208657,-73.60912840269638,2.0,1.0,1.0,1.0,41.0,20.0,1.0,20.0,1.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7
3562,2015-02-05,Canada,45.41661206737593,-73.62584379647954,2.0,1.0,1.0,1.0,70.0,30.0,1.0,0.0,2.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2
3563,2013-12-19,Canada,45.50451894335687,-73.65346325732176,10.0,3.0,4.0,5.0,320.0,140.0,8.0,0.0,3.0,1125.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,12
3564,2015-10-05,Canada,45.492108768161806,-73.58411775828318,2.0,1.0,1.0,1.0,90.0,0.0,1.0,0.0,1.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10
3565,2014-04-15,Canada,45.50113017786206,-73.57501489905816,2.0,1.0,1.0,2.0,90.0,25.0,1.0,0.0,1.0,1125.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,4
3566,2015-08-08,Canada,45.53488240085375,-73.56129048793899,3.0,1.0,1.0,1.0,75.0,25.0,2.0,15.0,2.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,8
3568,2015-06-24,Canada,45.497239702667954,-73.57488381228772,4.0,1.0,1.0,2.0,95.0,25.0,1.0,20.0,1.0,1125.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
3569,2013-04-27,Canada,45.49991161757082,-73.57868525700856,6.0,2.0,2.0,2.0,224.0,60.0,4.0,10.0,3.0,1125.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,4
3570,2016-02-25,Canada,45.50229953424047,-73.56440723124022,4.0,1.0,1.0,2.0,95.0,60.0,1.0,0.0,2.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2
3571,2013-06-13,Canada,45.5053804447376,-73.55545989668987,5.0,2.0,2.0,2.0,300.0,100.0,4.0,50.0,1.0,1125.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,6
3574,2016-01-27,Canada,45.50623854424244,-73.56568921343793,4.0,1.0,1.0,2.0,77.0,65.0,1.0,0.0,30.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
3575,2012-08-19,Canada,45.52318550401024,-73.55995392386973,2.0,1.0,1.0,1.0,60.0,10.0,1.0,0.0,1.0,60.0,67.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,8
3576,2012-11-26,Canada,45.49293319770757,-73.56977597932381,4.0,1.0,2.0,2.0,250.0,50.0,1.0,0.0,7.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11
3577,2014-02-28,Canada,45.50627940112974,-73.57142322133895,2.0,1.0,1.0,1.0,80.0,20.0,1.0,0.0,2.0,1125.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,2
3578,2014-02-16,Canada,45.51689985554823,-73.56358720851641,2.0,1.0,1.0,1.0,70.0,10.0,2.0,0.0,1.0,1125.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,2
3579,2014-08-16,Canada,45.51860045629152,-73.55870250129001,2.0,1.0,1.0,2.0,30.0,10.0,1.0,0.0,1.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,8
3580,2012-06-04,Canada,45.52852112611632,-73.56228216145372,1.0,1.0,1.0,1.0,38.0,0.0,1.0,10.0,2.0,14.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6
3581,2013-08-21,Canada,45.517787316813816,-73.55653722295841,4.0,1.0,2.0,2.0,105.0,60.0,2.0,20.0,1.0,1125.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,8
3583,2015-04-30,Canada,45.52383714903687,-73.55036303210557,2.0,1.0,1.0,1.0,41.0,0.0,1.0,10.0,2.0,1125.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4
3584,2015-04-24,Canada,45.5034929558078,-73.56260586875443,4.0,1.5,1.0,2.0,99.0,45.0,1.0,0.0,2.0,1125.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4
3585,2014-09-04,Canada,45.49298200498994,-73.59083958746129,3.0,1.0,0.0,1.0,75.0,40.0,1.0,0.0,1.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
3586,2015-01-07,Canada,45.48893243249513,-73.58074611834422,4.0,1.0,1.0,2.0,176.0,0.0,1.0,0.0,7.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
3587,2015-02-17,Canada,45.505871070526624,-73.5637112722475,3.0,1.0,1.0,1.0,99.0,59.0,2.0,20.0,2.0,1125.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
3588,2013-05-06,Canada,45.50486854972446,-73.55831819764833,4.0,1.0,1.0,1.0,99.0,65.0,0.0,0.0,2.0,1125.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5
3589,2012-11-25,Canada,45.50153877060471,-73.55498677342109,1.0,0.0,1.0,6.0,28.0,0.0,1.0,29.0,1.0,21.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6,11
3591,2009-09-24,Canada,45.52332616891204,-73.55340550205781,3.0,1.0,2.0,2.0,90.0,50.0,1.0,0.0,3.0,1125.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
3710,2011-04-10,Canada,45.50047197818565,-73.56224021778043,2.0,1.0,1.0,1.0,64.0,40.0,1.0,0.0,1.0,1125.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4
