,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
0,2015-07-21,Denmark,55.67597935514723,12.532959778704614,1.0,1.0,1.0,1.0,298.0,0.0,1.0,0.0,2.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
4,2015-10-07,Denmark,55.68396572265812,12.55302948723742,2.0,1.0,1.0,1.0,232.0,0.0,1.0,0.0,3.0,1125.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,10
5,2014-07-27,Denmark,55.67539990260334,12.5469751868068,4.0,1.0,2.0,2.0,603.0,0.0,1.0,0.0,5.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,7
6,2017-03-24,Denmark,55.68035698711233,12.547335392141877,2.0,1.0,1.0,1.0,715.0,283.0,1.0,0.0,3.0,1125.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,3
7,2017-02-07,Denmark,55.684970769061856,12.547870088056063,6.0,1.0,2.0,6.0,649.0,0.0,2.0,100.0,7.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
10,2012-07-24,Denmark,55.68463222820319,12.533318966200495,2.0,1.0,1.0,1.0,748.0,200.0,1.0,0.0,5.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
14,2011-10-01,Denmark,55.69278160414899,12.52466831651224,8.0,1.5,3.0,2.0,591.0,325.0,2.0,100.0,2.0,200.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,10
15,2014-10-31,Denmark,55.67759645128668,12.502049870002248,6.0,1.5,2.0,4.0,397.0,450.0,1.0,0.0,15.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
16,2015-11-11,Denmark,55.67817771931367,12.533403122151334,3.0,1.0,2.0,3.0,748.0,0.0,1.0,0.0,3.0,1125.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,11
17,2014-05-16,Denmark,55.69403139184767,12.532142149711824,1.0,1.0,1.0,1.0,298.0,50.0,1.0,100.0,2.0,14.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,5
18,2011-10-17,Denmark,55.68219604069875,12.537563505360046,2.0,1.0,1.0,1.0,517.0,70.0,2.0,0.0,1.0,4.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10
19,2015-06-10,Denmark,55.6731057504191,12.543542210300938,2.0,1.0,1.0,1.0,797.0,0.0,1.0,0.0,2.0,1125.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
21,2014-07-08,Denmark,55.677327267089,12.538056869524356,5.0,1.0,2.0,2.0,801.0,200.0,1.0,0.0,3.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
22,2010-12-18,Denmark,55.71176021857072,12.572977116648556,2.0,1.0,1.0,1.0,298.0,100.0,1.0,50.0,1.0,10.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,12
24,2015-10-05,Denmark,55.700067941710245,12.580519702431598,1.0,1.0,0.0,1.0,358.0,100.0,1.0,150.0,2.0,1125.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10
25,2014-07-16,Denmark,55.69533949052966,12.572711258865825,2.0,1.0,1.0,1.0,597.0,200.0,1.0,0.0,14.0,21.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,7
28,2013-12-03,Denmark,55.71051801660197,12.582054248013009,2.0,1.0,1.0,1.0,551.0,250.0,1.0,0.0,2.0,30.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
30,2015-05-26,Denmark,55.71277299294103,12.561231499588382,3.0,1.0,1.0,2.0,497.0,50.0,1.0,0.0,1.0,1125.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5
32,2017-03-26,Denmark,55.72376402086645,12.577254476899803,2.0,1.0,1.0,1.0,697.0,309.0,1.0,0.0,1.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,3
35,2014-07-08,Denmark,55.70254632487016,12.579083484920462,4.0,1.0,2.0,2.0,850.0,0.0,1.0,0.0,3.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
36,2014-01-05,Denmark,55.70077235758412,12.58241864029833,2.0,1.0,1.0,1.0,498.0,300.0,2.0,200.0,3.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1
37,2013-08-09,Denmark,55.702974144396826,12.588375463359997,2.0,1.0,1.0,1.0,531.0,166.0,1.0,0.0,3.0,1125.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,8
38,2016-02-03,Denmark,55.7008603494406,12.5855413516741,2.0,1.0,1.0,1.0,702.0,250.0,1.0,0.0,1.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2
40,2010-06-20,Denmark,55.67795409158787,12.596601308330674,2.0,1.0,1.0,1.0,397.0,400.0,1.0,100.0,1.0,90.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6,6
41,2014-04-02,Denmark,55.67554258630615,12.597185317303204,2.0,1.0,1.0,1.0,894.0,260.0,1.0,0.0,3.0,1125.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4
48,2014-03-29,Denmark,55.67372158775857,12.588759459801109,2.0,1.0,4.0,1.0,894.0,394.0,1.0,0.0,1.0,1125.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,3
