,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
7234,2015-10-05,Germany,52.47320107785522,13.44799833733842,2.0,1.0,1.0,1.0,30.0,0.0,1.0,0.0,4.0,55.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10
7235,2015-09-14,Germany,52.57049081359015,13.311876127538262,2.0,1.0,1.0,1.0,24.0,20.0,1.0,0.0,2.0,1125.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9
7236,2014-03-14,Germany,52.49559057608079,13.295928296039069,2.0,2.0,0.0,2.0,100.0,0.0,1.0,0.0,1.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,3
7237,2012-01-06,Germany,52.49832083238218,13.2925033146793,2.0,1.0,1.0,2.0,29.0,60.0,2.0,9.0,60.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1
7238,2016-02-27,Germany,52.49884301074246,13.290057748678205,2.0,1.0,1.0,1.0,65.0,0.0,1.0,0.0,1.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,2
7239,2011-06-28,Germany,52.5119622311164,13.44669530543838,2.0,1.0,1.0,1.0,49.0,50.0,2.0,20.0,10.0,350.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,6
7240,2015-10-27,Germany,52.51416304260574,13.44504311593828,2.0,1.0,1.0,1.0,39.0,5.0,1.0,0.0,2.0,1125.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,10
7241,2014-08-04,Germany,52.5126116273325,13.437126983472432,1.0,1.0,1.0,1.0,10.0,0.0,1.0,0.0,30.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8
7242,2014-06-14,Germany,52.5099514565419,13.446307067495283,3.0,1.0,1.0,2.0,52.0,0.0,1.0,0.0,2.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,6
7243,2013-05-10,Germany,52.51340425767517,13.449138067372768,4.0,1.0,2.0,2.0,75.0,20.0,2.0,10.0,3.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,5
7245,2013-11-11,Germany,52.51011570725908,13.437878639109648,6.0,1.0,2.0,2.0,55.0,40.0,2.0,25.0,2.0,1125.0,123.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11
7246,2012-10-30,Germany,52.50731998803024,13.448088340346656,2.0,1.0,1.0,1.0,61.0,80.0,1.0,20.0,1.0,1125.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,10
7247,2011-11-10,Germany,52.51043780056051,13.446958032651338,8.0,0.0,1.0,8.0,19.0,0.0,1.0,24.0,1.0,365.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,11
7248,2011-11-10,Germany,52.5085666364587,13.44497145163409,6.0,0.0,1.0,6.0,21.0,0.0,1.0,27.0,1.0,365.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3,11
7249,2011-07-04,Germany,52.51346450732896,13.448899056649854,10.0,1.0,3.0,10.0,250.0,75.0,5.0,35.0,2.0,1125.0,29.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7
7250,2016-05-21,Germany,52.50928829620658,13.448395923442098,1.0,1.0,1.0,1.0,22.0,0.0,1.0,0.0,2.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5
7251,2015-11-24,Germany,52.51780610681242,13.429279094028251,2.0,1.5,1.0,1.0,50.0,10.0,1.0,0.0,1.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
7254,2013-08-26,Germany,52.474652757166815,13.42429624104574,2.0,1.0,1.0,1.0,60.0,25.0,1.0,10.0,2.0,1125.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,8
7255,2015-12-11,Germany,52.47994978722612,13.420904055693102,3.0,1.0,1.0,2.0,47.0,5.0,2.0,10.0,2.0,1125.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,12
7256,2012-12-02,Germany,52.47285130202055,13.423147058995976,1.0,1.0,1.0,1.0,40.0,25.0,1.0,18.0,2.0,1125.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
7269,2016-11-15,Germany,52.50852294407689,13.379915349008703,6.0,1.5,2.0,4.0,299.0,50.0,4.0,25.0,2.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
7270,2016-01-17,Germany,52.511651722092346,13.384007553018696,2.0,3.0,1.0,2.0,49.0,10.0,1.0,20.0,1.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1
