,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
7970,2016-10-10,Greece,37.97535921749056,23.711933256279185,2.0,1.0,1.0,1.0,30.0,0.0,1.0,0.0,2.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10
7971,2016-03-04,Greece,37.96728242060176,23.71079068597069,4.0,2.0,2.0,3.0,100.0,20.0,1.0,0.0,2.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,3
7972,2013-06-29,Greece,37.97089666048903,23.707158006116565,4.0,1.0,2.0,3.0,40.0,0.0,2.0,6.0,2.0,1125.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,6
7973,2012-09-21,Greece,37.968036637089845,23.70950518061128,2.0,1.0,1.0,1.0,69.0,30.0,1.0,0.0,4.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,9
7974,2016-06-24,Greece,38.00739732256661,23.73323708602864,2.0,1.0,1.0,1.0,50.0,0.0,2.0,10.0,3.0,365.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6
7975,2015-04-26,Greece,37.99611628906913,23.7305507098729,4.0,1.0,1.0,2.0,36.0,10.0,2.0,5.0,2.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4
7976,2014-03-29,Greece,37.99413570172308,23.726861873484157,4.0,1.0,1.0,4.0,63.0,0.0,2.0,7.0,2.0,1125.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,3
7977,2015-04-22,Greece,38.00077762348947,23.72185501137173,2.0,1.0,1.0,1.0,18.0,5.0,2.0,5.0,3.0,20.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2,4
7978,2015-06-19,Greece,37.992882026285656,23.7248597978114,4.0,1.0,2.0,3.0,35.0,25.0,1.0,0.0,2.0,1125.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6
7980,2015-07-27,Greece,37.97519433908728,23.74081540551908,5.0,1.5,2.0,3.0,55.0,50.0,2.0,20.0,2.0,1125.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7
7981,2015-10-02,Greece,38.00296010357378,23.719483837174938,2.0,1.0,1.0,3.0,28.0,0.0,2.0,10.0,1.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
