,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
1496,2012-05-15,Hong Kong,22.287711909803097,114.14882082086484,3.0,1.0,1.0,1.0,783.0,280.0,1.0,0.0,4.0,120.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5
1497,2015-08-01,Hong Kong,22.283885270891677,114.15238465558484,1.0,1.0,1.0,1.0,419.0,70.0,1.0,0.0,2.0,21.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,8
1500,2014-07-18,Hong Kong,22.285347229078663,114.13565154164245,2.0,1.0,1.0,2.0,597.0,0.0,1.0,0.0,1.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,7
1505,2013-10-23,Hong Kong,22.281774695406146,114.15010084034182,2.0,2.0,1.0,2.0,597.0,270.0,1.0,0.0,2.0,1125.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,10
1506,2012-01-18,Hong Kong,22.283353122223406,114.1417657025398,2.0,1.0,1.0,1.0,900.0,200.0,2.0,0.0,2.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
1507,2010-11-30,Hong Kong,22.280605630336535,114.15475793920749,3.0,1.0,0.0,1.0,690.0,302.0,2.0,155.0,4.0,300.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
1508,2010-11-30,Hong Kong,22.28601479379197,114.14903957273188,2.0,1.0,0.0,1.0,558.0,271.0,2.0,155.0,2.0,1125.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
1511,2010-11-30,Hong Kong,22.28422403574677,114.1497361997306,2.0,1.0,0.0,1.0,613.0,271.0,2.0,155.0,2.0,365.0,95.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
1512,2012-11-26,Hong Kong,22.28257090838972,114.15100970834808,2.0,1.0,1.0,1.0,333.0,0.0,1.0,71.0,1.0,1125.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11
1513,2010-11-30,Hong Kong,22.286367420694265,114.13977223119286,2.0,1.0,1.0,1.0,302.0,302.0,1.0,155.0,7.0,360.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
1514,2011-07-05,Hong Kong,22.27991649393117,114.15291039030728,3.0,1.0,1.0,1.0,900.0,200.0,2.0,100.0,1.0,1125.0,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
1515,2014-01-26,Hong Kong,22.283919848970243,114.15058523072912,2.0,1.0,1.0,1.0,543.0,271.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1
1553,2013-12-19,Hong Kong,22.28704709177707,114.14882581728403,4.0,1.0,1.0,2.0,698.0,225.0,0.0,0.0,3.0,365.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,12
1554,2014-01-01,Hong Kong,22.28650777326329,114.1370998576284,2.0,1.0,1.0,1.0,302.0,0.0,1.0,150.0,7.0,360.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
1555,2014-07-10,Hong Kong,22.28253508075865,114.1305653194614,3.0,1.0,1.0,1.0,605.0,93.0,0.0,0.0,2.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,7
1556,2013-10-17,Hong Kong,22.28586610442522,114.14143531900476,2.0,1.0,1.0,1.0,760.0,0.0,1.0,0.0,2.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,10
1557,2014-07-24,Hong Kong,22.284590934395403,114.13358018291348,2.0,1.5,0.0,1.0,372.0,0.0,1.0,0.0,30.0,186.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,7
1561,2010-11-30,Hong Kong,22.28072049264057,114.15593201232456,2.0,1.0,0.0,1.0,636.0,271.0,1.0,0.0,2.0,30.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
1562,2015-09-17,Hong Kong,22.280959800621154,114.1481294167153,1.0,1.0,1.0,1.0,403.0,0.0,1.0,0.0,3.0,30.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
1564,2015-10-12,Hong Kong,22.286061896229388,114.14225314251031,2.0,1.0,1.0,1.0,403.0,0.0,1.0,100.0,1.0,1125.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10
1566,2014-10-17,Hong Kong,22.28609308285547,114.1402966313551,4.0,1.0,1.0,1.0,783.0,150.0,1.0,0.0,3.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
1569,2013-11-03,Hong Kong,22.28817652142809,114.14800385281823,1.0,0.0,1.0,1.0,349.0,39.0,1.0,0.0,1.0,1125.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,11
4689,2013-04-04,Hong Kong,22.315882211759565,114.1684191661257,5.0,0.0,1.0,3.0,357.0,60.0,3.0,60.0,1.0,365.0,94.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4
4691,2014-12-07,Hong Kong,22.32058477483777,114.1712754328973,2.0,1.0,1.0,1.0,271.0,0.0,2.0,50.0,1.0,1125.0,42.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
4692,2016-05-03,Hong Kong,22.300634459313585,114.17567347212496,2.0,1.0,0.0,1.0,403.0,95.0,1.0,0.0,1.0,1125.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5
4694,2015-09-14,Hong Kong,22.29682553145356,114.17268723699851,2.0,1.0,1.0,1.0,217.0,0.0,1.0,0.0,1.0,1125.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9
4699,2011-09-19,Hong Kong,22.343478919047875,114.13786090040831,4.0,1.5,1.0,2.0,900.0,250.0,0.0,0.0,2.0,90.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9
