,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
2134,2014-10-21,Ireland,53.344799320517,-6.267325120852895,7.0,1.0,2.0,5.0,199.0,40.0,2.0,30.0,2.0,60.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,10
2135,2014-07-15,Ireland,53.34041300050606,-6.234893163504528,2.0,1.0,1.0,1.0,150.0,45.0,2.0,30.0,3.0,1125.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
2136,2015-05-30,Ireland,53.31333156890834,-6.2495815646650135,4.0,1.0,1.0,2.0,130.0,30.0,4.0,35.0,3.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5
2137,2016-03-17,Ireland,53.35288943748134,-6.286003696941898,2.0,1.0,1.0,1.0,45.0,15.0,1.0,0.0,2.0,1125.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3
2139,2013-06-19,Ireland,53.33994337760643,-6.3053892450952045,2.0,1.0,1.0,1.0,84.0,30.0,2.0,30.0,3.0,1125.0,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
2140,2016-08-19,Ireland,53.35315766105687,-6.230602114029873,6.0,1.0,2.0,4.0,78.0,20.0,3.0,20.0,2.0,1125.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,8
2141,2015-07-26,Ireland,53.33566831862211,-6.268099764426772,4.0,1.0,2.0,3.0,180.0,30.0,1.0,0.0,3.0,1125.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,7
2142,2012-02-29,Ireland,53.34274796808448,-6.2791055239896645,4.0,2.0,1.0,2.0,140.0,20.0,1.0,0.0,3.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2
2144,2015-10-03,Ireland,53.33640459578603,-6.268649993078126,2.0,1.0,1.0,1.0,100.0,35.0,1.0,0.0,3.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,10
2146,2014-10-15,Ireland,53.34678769944781,-6.26610338293006,2.0,1.0,1.0,1.0,43.0,20.0,1.0,20.0,4.0,1125.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,10
