,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
10745,2014-12-02,Italy,41.89035316193503,12.468492752676186,2.0,1.0,1.0,1.0,70.0,15.0,1.0,0.0,1.0,1125.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
10746,2014-12-03,Italy,41.9005008280131,12.47276823835348,2.0,1.0,1.0,1.0,82.0,0.0,1.0,0.0,1.0,1125.0,26.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,12
10747,2013-05-30,Italy,41.89322581417168,12.47416115705993,4.0,1.0,1.0,2.0,84.0,0.0,2.0,8.0,2.0,1125.0,223.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,5
10748,2010-08-03,Italy,41.89973273333816,12.45811495006473,3.0,1.0,1.0,1.0,35.0,0.0,1.0,40.0,1.0,25.0,77.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,8
10749,2012-09-20,Italy,41.89547941875589,12.470748972565982,5.0,1.0,1.0,1.0,112.0,50.0,3.0,5.0,2.0,1125.0,128.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
10750,2014-10-15,Italy,41.88941331488995,12.503775699547356,3.0,1.0,1.0,1.0,100.0,8.0,2.0,20.0,1.0,30.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,10
10751,2014-01-20,Italy,41.907943981903465,12.446057741740804,4.0,1.0,1.0,2.0,34.0,40.0,2.0,20.0,2.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
10752,2015-03-02,Italy,41.89841231102563,12.47154155792369,2.0,1.0,1.0,1.0,70.0,20.0,1.0,0.0,3.0,90.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
10753,2014-04-13,Italy,41.8956301729558,12.473457536280709,2.0,1.0,1.0,2.0,95.0,0.0,1.0,0.0,2.0,100.0,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4
10754,2016-10-21,Italy,41.90125385279751,12.487295691157591,2.0,1.0,1.0,1.0,120.0,0.0,1.0,0.0,1.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
10755,2013-09-20,Italy,41.88519109635486,12.471248255673908,8.0,2.0,3.0,3.0,250.0,80.0,1.0,0.0,3.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,9
10756,2014-01-21,Italy,41.905061506214885,12.503439599651289,6.0,1.5,2.0,6.0,90.0,50.0,2.0,10.0,3.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
10757,2010-01-30,Italy,41.89499684842712,12.494122536669702,3.0,1.0,1.0,2.0,55.0,20.0,2.0,15.0,3.0,90.0,121.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
10758,2012-11-30,Italy,41.904918001007786,12.49857764473851,8.0,4.0,3.0,8.0,299.0,100.0,7.0,5.0,2.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,11
10759,2013-05-13,Italy,41.88012161370893,12.473926062478176,4.0,1.0,1.0,2.0,75.0,35.0,2.0,15.0,3.0,1000.0,126.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5
10760,2014-01-23,Italy,41.9067245014579,12.455982652563868,3.0,1.0,1.0,3.0,65.0,0.0,2.0,10.0,1.0,1125.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
10762,2017-03-21,Italy,41.88754569866632,12.504961802282445,3.0,1.0,0.0,3.0,72.0,15.0,2.0,15.0,1.0,20.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,3
10763,2013-06-26,Italy,41.89919276667221,12.505152787205446,7.0,1.0,2.0,4.0,91.0,50.0,2.0,16.0,2.0,1125.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
10764,2011-10-14,Italy,41.895725334049786,12.493653592521374,2.0,1.0,0.0,1.0,65.0,20.0,1.0,15.0,2.0,30.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4,10
10765,2014-11-27,Italy,41.89266505203052,12.489446552288294,3.0,1.0,1.0,1.0,75.0,0.0,2.0,20.0,1.0,1125.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,11
