,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
7900,2011-09-22,Netherlands,52.35992696894107,4.862859671199358,1.0,1.0,1.0,1.0,50.0,0.0,1.0,0.0,1.0,1125.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
7901,2015-10-31,Netherlands,52.36137101269532,4.8738603256015365,2.0,1.0,1.0,1.0,95.0,15.0,2.0,40.0,2.0,7.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,10
7903,2014-07-04,Netherlands,52.36464636933365,4.87404861185806,4.0,1.0,2.0,3.0,175.0,50.0,2.0,40.0,12.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,7
7904,2011-11-27,Netherlands,52.358295084395394,4.859091947726598,2.0,1.0,1.0,1.0,100.0,0.0,2.0,15.0,4.0,760.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,11
7905,2015-06-26,Netherlands,52.36667871194905,4.865594943841575,2.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,2.0,1125.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6
7907,2014-04-24,Netherlands,52.37080138742488,4.853345068114508,2.0,1.0,1.0,1.0,115.0,35.0,1.0,0.0,3.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4
7908,2014-12-21,Netherlands,52.3651869694861,4.876026104903436,5.0,1.0,2.0,4.0,225.0,75.0,4.0,50.0,5.0,21.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
7909,2015-08-05,Netherlands,52.368466776562,4.861157573506015,4.0,1.0,2.0,2.0,180.0,50.0,1.0,0.0,1.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,8
7910,2012-09-04,Netherlands,52.372498406242805,4.871171058686107,2.0,1.0,1.0,1.0,200.0,35.0,1.0,0.0,3.0,1125.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,9
7911,2014-07-24,Netherlands,52.36438257989224,4.860371417792933,2.0,1.0,1.0,1.0,140.0,30.0,1.0,0.0,3.0,1125.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,7
7912,2015-04-15,Netherlands,52.362925385472295,4.867813561283473,4.0,1.0,3.0,5.0,225.0,50.0,1.0,0.0,4.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4
7913,2014-06-27,Netherlands,52.36801910814399,4.850706479075064,2.0,1.0,1.0,1.0,99.0,35.0,2.0,15.0,2.0,1125.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6
7914,2011-04-14,Netherlands,52.3573470012671,4.85857809870049,2.0,1.0,1.0,1.0,90.0,40.0,1.0,0.0,2.0,60.0,212.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4
7915,2013-12-01,Netherlands,52.33403317425056,4.875143969382206,4.0,1.0,3.0,3.0,119.0,30.0,2.0,25.0,2.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
7916,2014-08-31,Netherlands,52.33400701450069,4.885873220283946,3.0,1.0,2.0,2.0,110.0,25.0,2.0,10.0,3.0,1125.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,8
7917,2015-02-14,Netherlands,52.32570753868818,4.880050219558837,4.0,1.0,2.0,2.0,100.0,60.0,2.0,30.0,2.0,1125.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,2
7918,2012-10-25,Netherlands,52.36077346034895,4.851133356774113,2.0,1.0,1.0,1.0,129.0,15.0,1.0,0.0,3.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,10
7920,2013-08-22,Netherlands,52.37145621668379,4.854782361244893,2.0,1.0,1.0,1.0,106.0,15.0,1.0,15.0,1.0,1125.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,8
7921,2017-01-25,Netherlands,52.36227445755457,4.876943655481579,2.0,1.0,1.0,1.0,50.0,0.0,1.0,0.0,1.0,1125.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
7922,2015-09-18,Netherlands,52.368826270513125,4.850135229122678,2.0,1.0,1.0,1.0,90.0,35.0,2.0,0.0,3.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,9
7923,2013-07-18,Netherlands,52.370729456643645,4.8532794233780985,3.0,1.0,1.0,1.0,99.0,30.0,2.0,25.0,1.0,1125.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,7
7924,2016-06-08,Netherlands,52.36202132300899,4.851435603554077,2.0,1.0,1.0,2.0,95.0,15.0,1.0,0.0,3.0,25.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
7925,2015-10-01,Netherlands,52.36046268119676,4.866127680002808,4.0,1.0,1.0,2.0,110.0,30.0,1.0,30.0,3.0,1125.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,10
7926,2014-08-17,Netherlands,52.37303919710081,4.865599086692881,2.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,1.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,8
7927,2016-01-17,Netherlands,52.36117175501664,4.865257949692063,2.0,1.0,1.0,1.0,120.0,0.0,1.0,15.0,1.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1
7928,2015-02-05,Netherlands,52.35760000214746,4.855805649855524,4.0,1.0,2.0,2.0,320.0,60.0,1.0,0.0,2.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,2
7929,2014-07-14,Netherlands,52.35860864444129,4.859375876589331,4.0,1.0,3.0,3.0,220.0,35.0,1.0,0.0,2.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,7
7930,2014-05-22,Netherlands,52.36929741938591,4.850390402176303,2.0,1.0,1.0,1.0,80.0,0.0,1.0,0.0,2.0,7.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,5
7933,2013-06-05,Netherlands,52.35987597326558,4.864814691828543,4.0,1.0,3.0,3.0,149.0,30.0,2.0,35.0,3.0,1125.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
8544,2015-08-07,Netherlands,52.35135376247577,4.854050094169106,2.0,1.0,1.0,1.0,100.0,0.0,1.0,0.0,4.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,8
8545,2013-07-19,Netherlands,52.35549075851864,4.871679692259168,6.0,2.0,4.0,5.0,305.0,50.0,1.0,0.0,2.0,1125.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,7
8546,2014-10-16,Netherlands,52.3515420673231,4.847949604449385,2.0,1.0,1.0,1.0,95.0,35.0,1.0,0.0,2.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,10
8549,2013-01-22,Netherlands,52.344691662325886,4.866290445326023,3.0,1.0,2.0,2.0,126.0,20.0,1.0,0.0,3.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
8550,2014-04-11,Netherlands,52.34958491971661,4.849857587809599,2.0,1.0,1.0,1.0,90.0,35.0,1.0,0.0,3.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,4
8551,2016-03-05,Netherlands,52.35413989381845,4.883987317245526,2.0,1.0,1.0,1.0,110.0,45.0,1.0,0.0,3.0,30.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,3
8552,2013-06-12,Netherlands,52.355916506234266,4.877233499360189,5.0,1.0,3.0,5.0,299.0,100.0,2.0,50.0,2.0,1125.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
8553,2013-12-16,Netherlands,52.34844568356362,4.849446149821918,2.0,1.0,1.0,2.0,69.0,15.0,1.0,0.0,6.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,12
8555,2016-07-06,Netherlands,52.34377544379085,4.860757825091628,3.0,1.0,2.0,2.0,125.0,35.0,2.0,30.0,2.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,7
8557,2013-02-05,Netherlands,52.35396631620661,4.847569187392075,2.0,1.0,1.0,1.0,115.0,35.0,1.0,0.0,2.0,1125.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
8558,2015-08-23,Netherlands,52.34633748889085,4.862665753565212,2.0,1.0,2.0,1.0,105.0,0.0,1.0,0.0,1.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,8
8559,2016-07-20,Netherlands,52.35331246771586,4.869664102226656,4.0,1.0,3.0,3.0,190.0,35.0,2.0,30.0,2.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,7
8560,2013-07-02,Netherlands,52.35193137755928,4.878490864652957,2.0,1.0,1.0,1.0,100.0,50.0,1.0,0.0,2.0,1125.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
8563,2015-04-19,Netherlands,52.35300292871757,4.885363595570015,3.0,1.0,2.0,2.0,150.0,35.0,1.0,0.0,2.0,1125.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4
8564,2016-09-25,Netherlands,52.353248925583536,4.862027643764333,6.0,1.0,3.0,5.0,400.0,90.0,4.0,35.0,2.0,35.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,9
8565,2016-08-21,Netherlands,52.34611069863701,4.860188795284515,2.0,1.0,1.0,1.0,68.0,20.0,1.0,0.0,2.0,1125.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,8
8567,2016-03-19,Netherlands,52.34278057295364,4.858629159327356,4.0,1.0,2.0,2.0,150.0,25.0,1.0,0.0,2.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,3
8568,2015-01-06,Netherlands,52.35257963050033,4.86193552246773,3.0,1.0,2.0,2.0,99.0,0.0,3.0,0.0,3.0,1125.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
8569,2014-09-11,Netherlands,52.351631998240265,4.849885118234017,8.0,1.0,1.0,4.0,80.0,0.0,1.0,50.0,1.0,1125.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
8570,2014-06-12,Netherlands,52.354645584583785,4.855568915761218,1.0,1.0,1.0,1.0,45.0,0.0,1.0,0.0,1.0,5.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,6
8571,2015-06-26,Netherlands,52.34754892999828,4.857174472428437,4.0,1.0,2.0,3.0,116.0,0.0,1.0,0.0,1.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6
8572,2015-03-22,Netherlands,52.34819067319532,4.850609323675603,4.0,1.0,2.0,4.0,155.0,35.0,4.0,0.0,2.0,30.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,3
8574,2013-09-19,Netherlands,52.35595584949347,4.849411334326267,4.0,1.0,2.0,2.0,125.0,20.0,2.0,25.0,2.0,1125.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
8575,2014-04-17,Netherlands,52.35198374033367,4.850762368613617,4.0,1.0,2.0,2.0,265.0,70.0,1.0,0.0,3.0,1125.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,4
8577,2014-02-05,Netherlands,52.32226536661892,4.886673285661023,4.0,1.5,2.0,4.0,124.0,50.0,2.0,24.0,4.0,1125.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,2
8578,2016-10-24,Netherlands,52.3734911514789,4.905279637755987,4.0,2.5,2.0,2.0,199.0,80.0,1.0,0.0,3.0,1125.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10
8579,2014-03-21,Netherlands,52.36313556376479,4.882261758434126,2.0,1.5,2.0,2.0,135.0,35.0,2.0,30.0,1.0,1125.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,3
8580,2013-05-13,Netherlands,52.363304926996925,4.906960493334562,2.0,1.0,1.0,2.0,90.0,25.0,1.0,0.0,5.0,1125.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5
8581,2012-05-08,Netherlands,52.36194828172464,4.890790669810582,4.0,1.0,2.0,2.0,211.0,0.0,2.0,0.0,3.0,1125.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5
8583,2014-10-13,Netherlands,52.36339905960215,4.905450741182756,2.0,1.0,0.0,1.0,95.0,0.0,1.0,25.0,2.0,1125.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,10
8584,2014-01-31,Netherlands,52.37327814260527,4.923382907971822,2.0,1.5,1.0,1.0,60.0,10.0,1.0,20.0,2.0,1125.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1
8585,2013-03-25,Netherlands,52.37523811045085,4.902673855649225,2.0,1.0,0.0,1.0,90.0,30.0,1.0,0.0,1.0,21.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
8586,2011-06-06,Netherlands,52.36263850498436,4.8919589248853885,4.0,1.0,1.0,2.0,119.0,39.0,1.0,0.0,2.0,1125.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,6
8587,2015-05-07,Netherlands,52.36523946338713,4.921812995124833,2.0,1.0,2.0,1.0,75.0,30.0,1.0,0.0,3.0,20.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,5
8588,2011-08-14,Netherlands,52.36493467573935,4.885515259592121,3.0,1.0,2.0,2.0,175.0,40.0,2.0,75.0,1.0,730.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,8
8590,2015-04-26,Netherlands,52.36732293210661,4.901151721984516,4.0,1.0,2.0,4.0,170.0,60.0,2.0,50.0,2.0,1125.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,4
8591,2013-07-11,Netherlands,52.3608021151787,4.894096807720249,4.0,1.0,2.0,2.0,195.0,0.0,4.0,0.0,3.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,7
8592,2015-05-31,Netherlands,52.3647198713238,4.910573503857094,2.0,1.0,1.0,1.0,155.0,10.0,1.0,0.0,3.0,1125.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,5
8593,2014-01-04,Netherlands,52.37075208550779,4.925242892989474,2.0,1.0,1.0,1.0,99.0,30.0,1.0,0.0,2.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
8594,2014-01-03,Netherlands,52.37038147563019,4.899899429696447,2.0,1.0,1.0,1.0,185.0,40.0,1.0,0.0,4.0,14.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,1
8595,2011-04-18,Netherlands,52.36094918581003,4.890262575895149,2.0,1.0,1.0,1.0,149.0,69.0,1.0,0.0,3.0,1125.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4
8596,2012-08-07,Netherlands,52.37314282774485,4.92188040229561,2.0,1.0,1.0,1.0,75.0,0.0,1.0,0.0,2.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,8
8597,2012-05-19,Netherlands,52.36539570144385,4.891768419496197,4.0,2.0,1.0,4.0,283.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,5
8598,2014-03-06,Netherlands,52.36328214576549,4.917679054061391,4.0,1.0,1.0,2.0,140.0,70.0,2.0,25.0,7.0,1125.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,3
8601,2013-09-05,Netherlands,52.3648893100667,4.882181684989496,2.0,1.0,1.0,1.0,110.0,40.0,1.0,0.0,3.0,1125.0,33.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
8602,2016-07-06,Netherlands,52.374907261212094,4.902051763984673,4.0,1.0,1.0,2.0,179.0,39.0,2.0,0.0,2.0,1125.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,7
8603,2012-09-25,Netherlands,52.37658260545469,4.912560000646882,5.0,1.5,3.0,4.0,150.0,75.0,2.0,45.0,3.0,30.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,9
8604,2016-06-11,Netherlands,52.36152782171933,4.896940870247098,2.0,1.0,0.0,1.0,225.0,9.0,1.0,12.0,2.0,1125.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,6
8605,2015-11-10,Netherlands,52.36493243938112,4.885259263600134,4.0,1.5,2.0,2.0,450.0,50.0,1.0,0.0,2.0,1125.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
8606,2015-12-29,Netherlands,52.36427313760549,4.9003604702335535,4.0,1.0,2.0,2.0,120.0,60.0,2.0,30.0,7.0,1125.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,12
8607,2012-08-24,Netherlands,52.363539406553926,4.903418492824061,2.0,1.0,1.0,1.0,95.0,0.0,1.0,0.0,2.0,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,8
8608,2014-02-04,Netherlands,52.37240768992569,4.903865854552793,4.0,1.5,0.0,4.0,159.0,40.0,2.0,40.0,2.0,31.0,141.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
8609,2014-07-13,Netherlands,52.36312364200147,4.911384184734176,2.0,1.0,1.0,1.0,75.0,25.0,1.0,0.0,1.0,7.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,7
8610,2016-09-05,Netherlands,52.36721996713579,4.9014090580533125,4.0,1.0,2.0,2.0,189.0,0.0,3.0,0.0,3.0,90.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9
8611,2014-01-04,Netherlands,52.35652423535348,4.887779506979649,2.0,2.5,1.0,1.0,125.0,0.0,1.0,0.0,1.0,1125.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5,1
8612,2012-05-21,Netherlands,52.35303937008603,4.8919569536289735,2.0,1.5,1.0,1.0,100.0,15.0,1.0,10.0,2.0,1125.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,5
8613,2012-12-12,Netherlands,52.35102868074139,4.894712594891432,3.0,1.5,2.0,2.0,159.0,35.0,3.0,60.0,2.0,60.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,12
8615,2014-05-20,Netherlands,52.34946787453228,4.902921815011424,2.0,1.0,1.0,1.0,90.0,10.0,1.0,0.0,1.0,1125.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5
8616,2015-09-06,Netherlands,52.357522535912,4.900769056147506,2.0,1.0,1.0,1.0,90.0,10.0,1.0,0.0,3.0,1125.0,48.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6,9
8617,2015-09-18,Netherlands,52.3553397510666,4.887771522445329,2.0,1.0,1.0,1.0,120.0,30.0,1.0,0.0,1.0,1125.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,9
8620,2016-07-08,Netherlands,52.34120797902274,4.899067624135933,2.0,1.0,1.0,1.0,98.0,50.0,1.0,0.0,1.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,7
8621,2016-09-19,Netherlands,52.34168710926611,4.912065335917064,3.0,1.0,2.0,2.0,150.0,35.0,2.0,30.0,2.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9
8622,2014-07-29,Netherlands,52.352079976969534,4.899662504884845,2.0,1.0,1.0,1.0,120.0,25.0,1.0,0.0,1.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
8623,2014-10-03,Netherlands,52.355499039033646,4.891849291393261,2.0,1.0,1.0,1.0,135.0,0.0,1.0,0.0,2.0,27.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,10
8624,2014-03-01,Netherlands,52.34273420059932,4.895789087488639,4.0,1.0,2.0,1.0,80.0,0.0,1.0,0.0,1.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,3
8626,2012-09-24,Netherlands,52.35483445723669,4.887856733815224,2.0,1.0,1.0,1.0,81.0,0.0,1.0,0.0,2.0,1125.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,9
8627,2012-11-12,Netherlands,52.33744149564307,4.900504566816006,4.0,1.0,1.0,2.0,149.0,35.0,1.0,0.0,2.0,1125.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11
8628,2013-09-19,Netherlands,52.34364500985684,4.895728592312463,3.0,1.0,3.0,3.0,600.0,50.0,1.0,0.0,3.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,9
8629,2013-05-21,Netherlands,52.33625843296896,4.90492713781495,3.0,1.0,2.0,2.0,72.0,35.0,2.0,30.0,4.0,1125.0,87.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5
8631,2015-01-21,Netherlands,52.3571495878773,4.8880807425438535,4.0,1.0,2.0,3.0,175.0,100.0,2.0,0.0,5.0,28.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1
8632,2015-12-03,Netherlands,52.34857389061088,4.888650715854466,4.0,1.0,2.0,2.0,225.0,35.0,1.0,0.0,3.0,1125.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,12
8633,2014-06-25,Netherlands,52.35188990538444,4.904508104289626,1.0,1.0,1.0,1.0,75.0,10.0,1.0,25.0,1.0,1125.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
8634,2013-01-06,Netherlands,52.351584558070265,4.89032686401609,2.0,1.0,1.0,1.0,292.0,50.0,1.0,0.0,3.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1
8635,2013-05-28,Netherlands,52.35154808499344,4.891292019252116,2.0,1.0,0.0,1.0,90.0,0.0,1.0,0.0,5.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,5
8636,2011-07-09,Netherlands,52.35216099627158,4.897097261480687,2.0,1.5,1.0,1.0,85.0,25.0,1.0,0.0,3.0,1125.0,21.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,7
8637,2012-06-21,Netherlands,52.37295512960608,4.873737389101276,2.0,1.0,1.0,1.0,110.0,0.0,1.0,0.0,2.0,1125.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,6
8638,2013-06-12,Netherlands,52.36812925253469,4.853426487469065,2.0,1.0,1.0,1.0,110.0,0.0,1.0,0.0,4.0,14.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,6
8639,2010-11-22,Netherlands,52.37225428447668,4.864160636458194,1.0,1.0,1.0,1.0,65.0,0.0,1.0,0.0,2.0,1125.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11
8640,2016-12-31,Netherlands,52.365542457623086,4.8739187735312735,2.0,1.0,1.0,1.0,60.0,20.0,1.0,0.0,1.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,12
8641,2012-09-16,Netherlands,52.369856018103405,4.855031587892796,2.0,1.5,1.0,1.0,99.0,30.0,1.0,0.0,2.0,1125.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,9
8642,2015-01-18,Netherlands,52.36289070757023,4.865257585593816,4.0,1.5,2.0,2.0,230.0,35.0,2.0,50.0,2.0,1125.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,1
8643,2013-02-03,Netherlands,52.36862658832629,4.865452297414967,2.0,1.0,1.0,1.0,110.0,30.0,1.0,0.0,1.0,1125.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,2
