,accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room,price
1,1,1.0,1.0,2.0,37.555893,126.928023,0.0,1.0,0.0,46
2,2,0.0,1.0,1.0,37.576998,126.997793,1.0,0.0,0.0,151
3,6,1.0,1.0,1.0,37.575486,126.990546,0.0,0.0,1.0,14
5,2,1.0,1.0,1.0,37.577029,126.990747,0.0,1.0,0.0,36
7,2,1.0,0.0,2.0,37.555285,126.927202,0.0,1.0,0.0,59
10,4,0.0,1.0,2.0,37.577566,126.996916,1.0,0.0,0.0,157
11,10,2.0,1.0,3.0,37.561032,126.991835,1.0,0.0,0.0,119
12,2,0.0,1.0,2.0,37.575365,126.99795,1.0,0.0,0.0,109
16,10,3.0,1.0,2.0,37.554688,126.930803,1.0,0.0,0.0,200
18,2,1.0,1.0,1.0,37.540028,127.07257,0.0,1.0,0.0,50
21,3,1.0,1.0,2.0,37.640751,126.941039,0.0,1.0,0.0,52
25,1,1.0,1.0,7.0,37.55176,126.931485,0.0,1.0,0.0,30
26,6,1.0,1.0,1.0,37.564125,127.026394,1.0,0.0,0.0,50
27,4,3.0,2.0,3.0,37.538854,127.071314,1.0,0.0,0.0,201
28,4,1.0,1.0,2.0,37.576337,126.998234,1.0,0.0,0.0,55
30,3,1.0,1.0,1.0,37.553784,126.918574,1.0,0.0,0.0,45
31,5,2.0,1.0,3.0,37.555353,126.967966,1.0,0.0,0.0,65
32,8,2.0,1.0,2.0,37.533465,126.992885,1.0,0.0,0.0,60
33,10,3.0,1.0,2.0,37.53386,126.992829,1.0,0.0,0.0,90
34,4,1.0,2.0,15.0,37.559043,126.935964,0.0,0.0,1.0,15
35,2,1.0,1.0,3.0,37.504195,127.03393,1.0,0.0,0.0,85
36,2,1.0,1.0,3.0,37.506124,127.033501,1.0,0.0,0.0,88
37,2,1.0,1.0,1.0,37.567084,126.962222,1.0,0.0,0.0,50
38,2,1.0,1.0,1.0,37.535976,127.073572,0.0,1.0,0.0,80
39,3,1.0,1.0,3.0,37.504872,127.031899,1.0,0.0,0.0,95
40,2,1.0,0.0,1.0,37.559676,126.955708,0.0,0.0,1.0,40
41,2,2.0,0.0,4.0,37.532971,126.994261,1.0,0.0,0.0,50
43,6,1.0,1.0,1.0,37.562925,127.000132,1.0,0.0,0.0,77
44,6,1.0,1.0,1.0,37.565028,127.026385,1.0,0.0,0.0,57
45,2,1.0,2.0,1.0,37.499817,127.017702,0.0,1.0,0.0,39
46,4,2.0,2.0,3.0,37.581566,126.970209,1.0,0.0,0.0,185
48,4,1.0,1.0,1.0,37.583154,126.908408,0.0,0.0,1.0,20
49,4,1.0,1.0,1.0,37.584756,126.910315,0.0,0.0,1.0,20
50,4,1.0,1.0,2.0,37.562178,127.009313,0.0,1.0,0.0,40
51,1,1.0,1.0,21.0,37.5926,126.949168,0.0,1.0,0.0,13
52,4,0.0,1.0,1.0,37.569715,126.951992,1.0,0.0,0.0,52
53,5,1.0,1.0,1.0,37.56003,126.954149,1.0,0.0,0.0,55
54,2,1.0,1.0,2.0,37.557915,126.984872,0.0,1.0,0.0,67
56,3,1.0,1.0,1.0,37.584481,126.997651,0.0,1.0,0.0,25
57,2,1.0,0.0,1.0,37.583917,126.996026,0.0,0.0,1.0,35
59,2,1.0,1.0,2.0,37.57289,126.842334,0.0,1.0,0.0,38
60,2,1.0,1.0,2.0,37.5711,126.843686,0.0,1.0,0.0,38
61,7,3.0,1.0,1.0,37.511813,126.915256,1.0,0.0,0.0,50
62,11,5.0,2.0,1.0,37.512311,126.913792,1.0,0.0,0.0,225
63,4,1.0,1.0,1.0,37.564053,126.957641,1.0,0.0,0.0,52
65,6,1.0,1.0,1.0,37.584995,126.997378,0.0,0.0,1.0,10
66,6,1.0,1.0,1.0,37.585278,126.997731,0.0,0.0,1.0,72
67,4,2.0,1.0,2.0,37.513269,126.915123,1.0,0.0,0.0,52
68,2,1.0,2.0,1.0,37.489605,127.146372,0.0,1.0,0.0,52
69,6,1.0,1.0,1.0,37.563447,127.02802,1.0,0.0,0.0,60
70,4,2.0,1.0,2.0,37.555966,126.927802,1.0,0.0,0.0,56
71,1,1.0,2.0,1.0,37.560406,127.038672,0.0,1.0,0.0,49
72,2,1.0,2.0,3.0,37.519128,127.10244,0.0,1.0,0.0,31
73,5,2.0,1.0,3.0,37.555228,126.969014,1.0,0.0,0.0,65
74,2,1.0,1.0,3.0,37.531758,126.991794,1.0,0.0,0.0,57
75,2,1.0,1.0,1.0,37.573413,126.987343,0.0,1.0,0.0,81
78,2,1.0,2.0,3.0,37.517583,127.104324,0.0,1.0,0.0,31
80,2,1.0,1.0,2.0,37.534169,126.991939,0.0,1.0,0.0,60
81,4,1.0,1.0,2.0,37.535751,126.992114,0.0,1.0,0.0,60
83,4,1.0,1.0,3.0,37.5029,126.890808,1.0,0.0,0.0,63
87,3,1.0,1.0,1.0,37.558369,126.985683,0.0,1.0,0.0,98
91,6,1.0,1.0,2.0,37.576309,127.026761,0.0,1.0,0.0,39
92,5,2.0,1.0,2.0,37.587835,126.982126,1.0,0.0,0.0,93
93,7,3.0,2.0,2.0,37.588744,126.980295,1.0,0.0,0.0,110
95,2,1.0,1.0,2.0,37.561697,126.921761,1.0,0.0,0.0,53
96,4,1.0,1.0,1.0,37.561669,126.920598,0.0,1.0,0.0,78
98,2,1.0,1.0,2.0,37.50675,126.885153,0.0,1.0,0.0,40
100,16,1.0,0.0,2.0,37.554222,126.926841,0.0,0.0,1.0,13
101,2,1.0,1.0,1.0,37.56548,127.019793,0.0,1.0,0.0,48
102,2,0.0,1.0,3.0,37.567074,126.841297,1.0,0.0,0.0,30
103,4,1.0,1.0,4.0,37.584777,126.983715,0.0,1.0,0.0,79
104,2,1.0,1.0,3.0,37.505494,127.033272,1.0,0.0,0.0,87
105,10,1.0,1.0,1.0,37.553629,126.923228,0.0,0.0,1.0,15
106,2,1.0,1.0,2.0,37.596623,126.965875,0.0,1.0,0.0,55
108,2,1.0,1.0,1.0,37.554889,126.922722,0.0,1.0,0.0,31
111,3,1.0,1.0,1.0,37.57464,126.97033,1.0,0.0,0.0,59
112,2,1.0,0.0,1.0,37.595476,126.964776,0.0,1.0,0.0,43
114,2,1.0,1.0,3.0,37.501925,127.034502,1.0,0.0,0.0,77
115,4,1.0,1.0,2.0,37.564734,127.006461,1.0,0.0,0.0,36
116,4,1.0,1.0,6.0,37.520959,127.030758,1.0,0.0,0.0,60
117,3,1.0,1.0,1.0,37.581383,126.987643,0.0,1.0,0.0,61
118,10,3.0,2.0,3.0,37.533676,126.993043,1.0,0.0,0.0,99
119,4,0.0,1.0,2.0,37.575804,126.997023,1.0,0.0,0.0,167
120,3,1.0,1.0,1.0,37.53498,126.990823,1.0,0.0,0.0,75
121,1,1.0,1.0,5.0,37.539895,126.993416,0.0,1.0,0.0,31
122,1,1.0,1.0,1.0,37.54292,126.985939,0.0,1.0,0.0,20
124,4,1.0,1.0,1.0,37.555251,126.923149,0.0,0.0,1.0,15
126,2,1.0,1.0,2.0,37.553636,126.927948,0.0,1.0,0.0,42
127,1,1.0,1.0,2.0,37.555803,126.927508,0.0,0.0,1.0,21
128,6,1.0,2.0,2.0,37.555184,126.927115,0.0,0.0,1.0,13
129,1,1.0,1.0,1.0,37.554305,126.916454,0.0,1.0,0.0,40
130,4,1.0,2.0,1.0,37.555572,126.919392,0.0,0.0,1.0,18
132,2,1.0,4.0,1.0,37.555876,126.916313,0.0,1.0,0.0,50
133,4,1.0,4.0,1.0,37.554343,126.914986,0.0,1.0,0.0,78
134,3,1.0,1.0,3.0,37.553923,126.914754,0.0,1.0,0.0,71
138,16,1.0,2.0,1.0,37.55485,126.91948,0.0,0.0,1.0,12
139,3,1.0,1.0,1.0,37.573924,126.973406,1.0,0.0,0.0,59
140,4,1.0,2.0,1.0,37.555623,126.93791,0.0,0.0,1.0,20
142,2,1.0,1.0,2.0,37.526397,126.998531,1.0,0.0,0.0,31
143,8,3.0,1.0,2.0,37.526752,126.997038,1.0,0.0,0.0,80
144,2,1.0,1.0,1.0,37.512933,127.019801,1.0,0.0,0.0,51
145,1,1.0,1.0,1.0,37.513993,127.020048,1.0,0.0,0.0,38
146,1,1.0,1.0,1.0,37.512551,127.021359,0.0,1.0,0.0,39
147,1,1.0,1.0,1.0,37.512656,127.020025,0.0,1.0,0.0,39
148,1,1.0,1.0,1.0,37.514797,127.021431,1.0,0.0,0.0,61
149,1,1.0,1.0,1.0,37.512785,127.021527,1.0,0.0,0.0,34
150,1,1.0,1.0,1.0,37.513173,127.020331,0.0,1.0,0.0,34
151,1,1.0,1.0,1.0,37.512938,127.021351,1.0,0.0,0.0,37
