,Host Since,Country,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,Entire home/apt,Private room,Shared room,Airbed,Couch,Futon,Pull-out Sofa,Real Bed,Day,Month
5195,2015-11-17,Switzerland,46.20052697347109,6.137218363980478,2.0,1.0,1.0,1.0,70.0,0.0,1.0,0.0,1.0,1125.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,11
5196,2016-01-05,Switzerland,46.20915313417686,6.137908806147195,3.0,1.0,0.0,3.0,115.0,0.0,1.0,0.0,10.0,1125.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
5197,2015-07-07,Switzerland,46.2057142053586,6.163190346506092,2.0,1.0,1.0,1.0,135.0,0.0,1.0,0.0,1.0,1125.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,7
5198,2016-03-18,Switzerland,46.28537219868718,6.164867770203296,2.0,1.0,1.0,1.0,80.0,0.0,1.0,0.0,1.0,1125.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,3
5201,2012-12-22,Switzerland,46.19058588553928,6.201764917019998,2.0,1.0,0.0,1.0,60.0,0.0,1.0,0.0,3.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,12
5203,2013-12-27,Switzerland,46.21114079367244,6.112540312075542,2.0,1.0,1.0,1.0,76.0,0.0,2.0,0.0,2.0,1125.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,12
5204,2014-01-02,Switzerland,46.2118393668672,6.078933648506591,1.0,1.0,1.0,1.0,48.0,0.0,1.0,0.0,2.0,1125.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3,1
5208,2014-02-11,Switzerland,46.19358641410464,6.17313618749955,4.0,3.0,3.0,3.0,226.0,60.0,0.0,0.0,3.0,1125.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
5210,2015-03-02,Switzerland,46.27029903992116,6.122875936317053,4.0,1.0,1.0,1.0,126.0,50.0,1.0,0.0,2.0,1125.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3
5215,2011-12-10,Switzerland,46.215325159897176,6.148994653974335,3.0,1.0,1.0,2.0,152.0,33.0,2.0,22.0,3.0,1125.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,12
5217,2015-04-22,Switzerland,46.20539448353607,6.137339344333566,1.0,1.0,1.0,1.0,26.0,0.0,1.0,0.0,4.0,1125.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,4
5218,2014-10-22,Switzerland,46.18941115048015,6.140398906940348,3.0,1.0,1.0,1.0,92.0,33.0,1.0,0.0,1.0,1125.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2,10
5219,2015-12-13,Switzerland,46.20269175027965,6.149450513752073,4.0,1.0,0.0,1.0,106.0,0.0,2.0,10.0,1.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,12
5220,2010-11-13,Switzerland,46.20208880470195,6.165299459463833,2.0,1.0,1.0,2.0,110.0,50.0,1.0,50.0,2.0,1125.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5,11
5221,2015-06-05,Switzerland,46.217808766776606,6.144294656469029,1.0,1.0,1.0,1.0,55.0,0.0,1.0,0.0,3.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4,6
5225,2014-02-03,Switzerland,46.19361208702791,6.140895815041224,2.0,1.5,1.0,1.0,110.0,25.0,1.0,0.0,2.0,1125.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2
5226,2012-11-06,Switzerland,46.193602048459134,6.16213710149077,2.0,2.5,1.0,1.0,109.0,25.0,1.0,20.0,2.0,1125.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,11
5227,2015-03-01,Switzerland,46.20855476446328,6.144267788319199,4.0,1.0,1.0,1.0,149.0,20.0,1.0,0.0,1.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,3
