,accommodates,bedrooms,bathrooms,minstay,latitude,longitude,Entire home/apt,Private room,Shared room,price
0,2.0,0.0,0.0,4.0,35.67017,139.741313,1.0,0.0,0.0,95
1,1.0,1.0,1.0,5.0,35.644269,139.693466,0.0,1.0,0.0,34
2,2.0,1.0,0.0,1.0,35.730653,139.689986,0.0,1.0,0.0,50
5,5.0,2.0,1.0,5.0,35.658389,139.7744,1.0,0.0,0.0,302
7,4.0,1.0,1.0,2.0,35.731696,139.762696,1.0,0.0,0.0,95
8,2.0,1.0,1.0,2.0,35.65914,139.676309,1.0,0.0,0.0,72
11,4.0,1.0,1.0,3.0,35.64891,139.685904,1.0,0.0,0.0,86
12,3.0,1.0,1.0,1.0,35.665013,139.734432,1.0,0.0,0.0,112
13,3.0,1.0,1.0,3.0,35.64834,139.719106,1.0,0.0,0.0,95
14,1.0,1.0,2.0,3.0,35.705329,139.645695,0.0,1.0,0.0,21
15,2.0,1.0,2.0,3.0,35.706458,139.64858,0.0,1.0,0.0,34
16,1.0,1.0,2.0,3.0,35.705329,139.650156,0.0,1.0,0.0,24
17,4.0,1.0,1.0,2.0,35.73121,139.76102,1.0,0.0,0.0,95
20,2.0,1.0,2.0,3.0,35.70445,139.650234,0.0,1.0,0.0,34
21,2.0,1.0,2.0,3.0,35.704619,139.648155,0.0,1.0,0.0,34
23,3.0,1.0,1.0,3.0,35.736496,139.698489,0.0,1.0,0.0,85
24,2.0,1.0,1.0,2.0,35.707146,139.68275,0.0,1.0,0.0,109
25,3.0,1.0,1.0,3.0,35.656577,139.696661,1.0,0.0,0.0,115
26,3.0,1.0,1.0,3.0,35.669006,139.700799,1.0,0.0,0.0,115
27,1.0,1.0,2.0,3.0,35.706337,139.648216,0.0,1.0,0.0,24
28,2.0,1.0,1.0,4.0,35.682658,139.680049,0.0,1.0,0.0,34
29,4.0,2.0,1.0,3.0,35.673628,139.708711,1.0,0.0,0.0,350
30,2.0,1.0,1.0,7.0,35.642605,139.702836,1.0,0.0,0.0,129
31,1.0,1.0,1.0,4.0,35.677626,139.708609,0.0,1.0,0.0,40
32,3.0,1.0,1.0,4.0,35.627284,139.684208,1.0,0.0,0.0,57
